"","year","song","artist","peak_pos","weeks_on_chart","instance"
"2073",2012,"Fine By Me","Andy Grammer",87,10,1
"2074",2013,"Fine China","Chris Brown",52,16,1
"2075",2019,"Fine China","Future & Juice WRLD",26,13,1
"2076",2018,"Finesse","Bruno Mars & Cardi B",35,23,1
"2077",2018,"Finesse","Drake",42,2,1
"2078",2010,"Fire","Glee Cast Featuring Kristin Chenoweth",64,1,1
"2079",2018,"Fire","KIDS SEE GHOSTS",67,1,1
"2080",2016,"Fire & Desire","Drake",75,4,1
"2081",2009,"Fire Burning","Sean Kingston",29,21,1
"2082",2011,"Fire Flame","Birdman Featuring Lil Wayne",84,10,1
"2083",2015,"Fire N Gold","Bea Miller",78,1,1
"2084",2015,"Fireball","Pitbull Featuring John Ryan",93,20,1
"2085",2008,"Firecracker","Josh Turner",96,20,1
"2086",2010,"Fireflies","Owl City",97,31,1
"2087",2006,"Fireman","Lil Wayne",91,17,1
"2088",2015,"Firestone","Kygo Featuring Conrad",92,1,1
"2089",2011,"Firework","Glee Cast",34,2,1
"2090",2011,"Firework","Katy Perry",57,39,1
"2091",2010,"Fireworks","Drake Featuring Alicia Keys",71,1,1
"2092",2009,"First Dance","Justin Bieber Featuring Usher",99,1,1
"2093",2017,"First Day Out","Kodak Black",61,1,1
"2094",2017,"First Day Out","Tee Grizzley",88,20,1
"2095",2015,"First Kiss","Kid Rock",66,1,1
"2096",2014,"First Love","Jennifer Lopez",87,3,1
"2097",2012,"First Of The Year (Equinox)","Skrillex",100,3,2
"2098",2019,"First Off","Future Featuring Travis Scott",47,3,1
"2099",2017,"First Time","Kygo & Ellie Goulding",67,1,1
"2100",2007,"First Time","Lifehouse",48,26,1
"2101",2011,"Fish","Craig Campbell",97,10,1
"2102",2010,"Fistful Of Tears","Maxwell",99,4,2
"2103",2018,"Five More Minutes","Scotty McCreery",98,19,1
"2104",2016,"Fix","Chris Lane",99,12,1
"2105",2017,"Fix A Drink","Chris Janson",98,14,2
"2106",2011,"Fix A Heart","Demi Lovato",69,1,1
"2107",2006,"Fix You","Coldplay",97,7,3
"2108",2011,"Fix You","Glee Cast",53,1,1
"2109",2011,"Fix You","Javier Colon",52,2,1
"2110",2002,"Flake","Jack Johnson",75,17,1
"2111",2004,"Flap Your Wings","Nelly",63,11,1
"2112",2008,"Flashing Lights","Kanye West Featuring Dwele",75,20,1
"2113",2015,"Flashlight","Jessie J",68,7,1
"2114",2007,"Flathead","The Fratellis",75,4,2
"2115",2017,"Flatliner","Cole Swindell",100,18,2
"2116",2001,"Flavor Of The Weak","American Hi-Fi",69,20,1
"2117",2019,"Flaws And Sins","Juice WRLD",91,1,1
"2118",2015,"Flex (Ooh Ooh Ooh)","Rich Homie Quan",96,27,1
"2119",2016,"Flexicution","Logic",100,1,1
"2120",2015,"Flicka Da Wrist","Chedda Da Connect",100,4,3
"2121",2018,"Flip The Switch","Quavo Featuring Drake",48,1,1
"2122",2003,"Flipside","Freeway Featuring Peedi Crakk",95,3,1
"2123",2004,"Float On","Modest Mouse",97,20,1
"2124",2019,"Floating","ScHoolboy Q Featuring 21 Savage",67,1,1
"2125",2000,"Flowers On The Wall","Eric Heatherly",95,20,1
"2126",2015,"Fly","Maddie & Tae",92,14,1
"2127",2012,"Fly","Nicki Minaj Featuring Rihanna",76,20,2
"2128",2012,"Fly / I Believe I Can Fly","Glee Cast",56,1,1
"2129",2015,"Fly Away","5 Seconds Of Summer",100,1,1
"2130",2008,"Fly Like Me","Chingy Featuring Amerie",89,2,1
"2131",2009,"Fly On The Wall","Miley Cyrus",84,2,1
"2132",2012,"Fly Over States","Jason Aldean",92,20,1
"2133",2016,"Fly S**t Only","Future",67,1,1
"2134",2009,"Fly With Me","Jonas Brothers",83,1,1
"2135",2003,"Flying Without Wings","Ruben Studdard",2,10,1
"2136",2016,"FML","Kanye West",84,1,1
"2137",2016,"Focus","Ariana Grande",7,13,1
"2138",2018,"Focus","H.E.R.",100,1,1
"2139",2011,"Focused","Wale Featuring Kid Cudi",97,1,1
"2140",2017,"Foldin Clothes","J. Cole",30,2,1
"2141",2001,"Follow Me","Uncle Kracker",72,33,1
"2142",2010,"Follow Me Down","3OH!3 Featuring Neon Hitch",89,2,2
"2143",2014,"Follow Your Arrow","Kacey Musgraves",60,1,1
"2144",2002,"Foolish","Ashanti",78,32,1
"2145",2018,"Foot Fungus","Ski Mask The Slump God",81,1,1
"2146",2011,"Footloose","Blake Shelton",63,2,1
"2147",2005,"Footprints","T.O.K.",97,6,1
"2148",2002,"For All Time","Soluna",98,11,1
"2149",2016,"For Free","DJ Khaled Featuring Drake",18,20,1
"2150",2011,"For Good","Glee Cast",58,1,1
"2151",2017,"For Her","Chris Lane",99,4,1
"2152",2017,"For Real","Lil Uzi Vert",82,1,1
"2153",2018,"For The First Time","Darius Rucker",95,10,1
"2154",2011,"For The First Time","The Script",97,29,2
"2155",2014,"For The First Time In Forever","Kristen Bell & Idina Menzel",74,19,1
"2156",2017,"For Whom The Bell Tolls","J. Cole",23,2,1
"2157",2012,"For You","Keith Urban",97,18,1
"2158",2002,"For You","Staind",75,20,1
"2159",2018,"For You (Fifty Shades Freed)","Liam Payne & Rita Ora",82,3,2
"2160",2006,"For You I Will (Confidence)","Teddy Geiger",90,20,1
"2161",2011,"For You, And Your Denial","Yellowcard",100,1,1
"2162",2009,"For Your Entertainment","Adam Lambert",84,2,2
"2163",2014,"Foreign","Trey Songz",100,10,2
"2164",2008,"Forever","Chris Brown",9,33,1
"2165",2010,"Forever","Drake Featuring Kanye West, Lil Wayne & Eminem",8,24,1
"2166",2007,"Forever","Papa Roach",95,18,1
"2167",2009,"Forever","Rascal Flatts",53,1,1
"2168",2009,"Forever & Always","Taylor Swift",49,3,2
"2169",2003,"Forever And For Always","Shania Twain",75,23,1
"2170",2016,"Forever Country","Artists Of Then, Now & Forever",21,4,1
"2171",2011,"Forget You","Glee Cast Featuring Gwyneth Paltrow",90,5,2
"2172",2002,"Forgive","Rebecca Lynn Howard",75,5,1
"2173",2000,"Forgot About Dre","Dr. Dre Featuring Eminem",75,20,1
"2174",2016,"Formation","Beyonce",10,7,1
"2175",2004,"Forthenight","Musiq",99,17,1
"2176",2016,"Forward","Beyonce Featuring James Blake",63,1,1
"2177",2018,"Found / Tonight","Lin-Manuel Miranda & Ben Platt",49,1,1
"2178",2017,"Found You","Kane Brown",80,1,1
"2179",2015,"FourFiveSeconds","Rihanna & Kanye West & Paul McCartney",54,20,1
"2180",2018,"Fr Fr","Wiz Khalifa Featuring Lil Skies",73,1,1
"2181",2007,"Freak On A Leash (Unplugged)","Korn Featuring Amy Lee",89,1,1
"2182",2011,"Freak The Freak Out","Victorious Cast Featuring Victoria Justice",78,6,2
"2183",2000,"Freakin' It","Will Smith",99,4,1
"2184",2013,"Freaks","French Montana Featuring Nicki Minaj",99,7,2
"2185",2004,"Freaks","Play-N-Skillz Featuring Krayzie Bone & Adina Howard",69,10,1
"2186",2018,"Freaky Friday","Lil Dicky Featuring Chris Brown",9,20,1
"2187",2008,"Freaky Gurl","Gucci Mane",94,17,1
"2188",2001,"Free","Mya",75,16,1
"2189",2010,"Free","Zac Brown Band",95,19,1
"2190",2007,"Free And Easy (Down The Road I Go)","Dierks Bentley",89,20,1
"2191",2008,"Free Fallin'","John Mayer",92,10,2
"2192",2017,"Free Smoke","Drake",18,4,1
"2193",2005,"Free Yourself","Fantasia",100,20,1
"2194",2016,"Freedom","Beyonce Featuring Kendrick Lamar",35,2,1
"2195",2001,"Freedom","Paul McCartney",97,2,1
"2196",2018,"Freeee (Ghost Town, Pt. 2)","KIDS SEE GHOSTS",62,1,1
"2197",2004,"Freek-A-Leek","Petey Pablo",99,39,1
"2198",2009,"Freeze","T-Pain Featuring Chris Brown",82,10,2
"2199",2006,"Fresh Azimiz","Bow Wow Featuring J-Kwon & Jermaine Dupri",84,20,1
"2200",2017,"Fresh Eyes","Andy Grammer",97,18,1
"2201",2011,"Frick Park Market","Mac Miller",60,2,1
"2202",2011,"Friday","Glee Cast",34,2,1
"2203",2011,"Friday","Rebecca Black",72,6,1
"2204",2014,"Friday Night","Eric Paslay",91,20,1
"2205",2018,"Friends","J. Cole Featuring kiLL edward",46,1,1
"2206",2017,"Friends","Justin Bieber + BloodPop",20,10,1
"2207",2018,"Friends","Marshmello & Anne-Marie",72,29,1
"2208",2018,"Friends","The Carters",99,1,1
"2209",2011,"From A Table Away","Sunny Sweeney",96,12,1
"2210",2002,"From Her Mama (Mama Got A**)","Juvenile",97,15,1
"2211",2003,"From Tha Chuuuch To Da Palace","Snoop Dogg",90,10,1
"2212",2000,"From The Bottom Of My Broken Heart","Britney Spears",76,20,1
"2213",2016,"From The Ground Up","Dan + Shay",90,16,1
"2214",2013,"From Time","Drake Featuring Jhene Aiko",67,2,1
"2215",2007,"From Where You Are","Lifehouse",61,2,1
"2216",2007,"From Yesterday","Thirty Seconds To Mars",99,8,2
"2217",2003,"Frontin'","Pharrell Featuring Jay-Z",89,23,1
"2218",2016,"Froze","Meek Mill Featuring Lil Uzi Vert & Nicki Minaj",68,1,1
"2219",2002,"Full Moon","Brandy",94,20,2
"2220",2015,"Fun","Pitbull Featuring Chris Brown",77,15,1
"2221",2010,"Funhouse","P!nk",97,13,2
"2222",2008,"Funkytown","Alvin And The Chipmunks",86,2,1
"2223",2009,"Funny The Way It Is","Dave Matthews Band",46,8,2
"2224",2013,"Furthest Thing","Drake",56,2,1
"2225",2015,"G.D.F.R.","Flo Rida Featuring Sage The Gemini & Lookas",98,35,3
"2226",2007,"G.N.O. (Girl's Night Out)","Miley Cyrus",91,2,1
"2227",2010,"G.R.I.N.D. (Get Ready It's A New Day)","Asher Roth",79,1,1
"2228",2014,"G.U.Y.","Lady Gaga",76,1,1
"2229",2000,"G'd Up","Snoop Dogg Presents Tha Eastsidaz",77,14,1
"2230",2004,"Gal Yuh Ah Lead","T.O.K.",94,9,1
"2231",2006,"Gallery","Mario Vazquez",99,20,2
"2232",2017,"Galway Girl","Ed Sheeran",94,5,2
"2233",2004,"Game Over (Flip)","Lil' Flip",67,20,1
"2234",2008,"Game's Pain","The Game Featuring Keyshia Cole",91,7,1
"2235",2015,"Games","Luke Bryan",99,5,2
"2236",2018,"Gang Gang","Migos",73,1,1
"2237",2013,"Gangnam Style","PSY",64,31,1
"2238",2016,"Gangsta","Kehlani",100,12,2
"2239",2004,"Gangsta Girl","Big Tymers Featuring R. Kelly",97,9,1
"2240",2002,"Gangsta Lovin'","Eve Featuring Alicia Keys",61,22,1
"2241",2010,"Gangsta Luv","Snoop Dogg Featuring The-Dream",57,19,1
"2242",2004,"Gangsta Nation","Westside Connection Featuring Nate Dogg",77,18,1
"2243",2018,"Ganja Burns","Nicki Minaj",60,1,1
"2244",2014,"Gas Pedal","Sage The Gemini Featuring IamSu!",58,25,1
"2245",2005,"Gasolina","Daddy Yankee",96,20,1
"2246",2013,"Gentleman","PSY",12,15,1
"2247",2001,"Georgia","Carolyn Dawn Johnson",98,5,1
"2248",2006,"Georgia","Ludacris & Field Mob Featuring Jamie Foxx",48,9,1
"2249",2011,"Georgia Clay","Josh Kelley",89,3,1
"2250",2005,"Georgia Rain","Trisha Yearwood",98,9,2
"2251",2015,"Geronimo","Sheppard",96,21,2
"2252",2018,"Get Along","Kenny Chesney",85,21,1
"2253",2008,"Get Back","Demi Lovato",43,6,1
"2254",2005,"Get Back","Ludacris",66,20,1
"2255",2010,"Get Back Up","T.I. Featuring Chris Brown",70,1,1
"2256",2007,"Get Buck","Young Buck",100,3,2
"2257",2008,"Get Buck In Here","DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",44,18,1
"2258",2003,"Get Busy","Sean Paul",82,32,1
"2259",2003,"Get By","Talib Kweli",99,10,1
"2260",2001,"Get Crunked Up","Iconz Featuring Tony Manshino",99,5,1
"2261",2018,"Get Dripped","Lil Yachty Featuring Playboi Carti",98,1,1
"2262",2006,"Get Drunk And Be Somebody","Toby Keith",93,20,1
"2263",2000,"Get Gone","Ideal",13,22,1
"2264",2014,"Get Her Back","Robin Thicke",82,1,1
"2265",2000,"Get It On Tonite","Montell Jordan",21,32,1
"2266",2005,"Get It Poppin'","Fat Joe Featuring Nelly",88,20,1
"2267",2011,"Get It Right","Glee Cast",16,2,1
"2268",2007,"Get It Shawty","Lloyd",76,22,1
"2269",2012,"Get It Started","Pitbull Featuring Shakira",99,2,1
"2270",2017,"Get It Together","Drake Featuring Jorja Smith & Black Coffee",45,2,1
"2271",2008,"Get Like Me","David Banner Featuring Chris Brown",97,21,1
"2272",2015,"Get Low","Dillon Francis & DJ Snake",100,9,2
"2273",2004,"Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins",98,45,1
"2274",2012,"Get Low","Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida",72,1,1
"2275",2017,"Get Low","Zedd & Liam Payne",91,1,1
"2276",2013,"Get Lucky","Daft Punk Featuring Pharrell Williams",19,29,1
"2277",2013,"Get Me Bodied","Beyonce",98,19,3
"2278",2014,"Get Me Some Of That","Thomas Rhett",94,20,1
"2279",2008,"Get My Drink On","Toby Keith",99,5,1
"2280",2004,"Get No Better","Cassidy Featuring Mashonda",98,12,1
"2281",2009,"Get On Your Boots","U2",96,3,2
"2282",2015,"Get On Your Knees","Nicki Minaj Featuring Ariana Grande",88,1,1
"2283",2001,"Get Over Yourself","Eden's Crush",8,14,1
"2284",2005,"Get Right","Jennifer Lopez",53,17,1
"2285",2017,"Get Right Witcha","Migos",72,1,1
"2286",2008,"Get Silly","V.I.C.",92,17,1
"2287",2002,"Get The Party Started","P!nk",69,24,1
"2288",2016,"Get Ugly","Jason Derulo",100,12,1
"2289",2008,"Get Up","50 Cent",44,9,1
"2290",2000,"Get Up","Amel Larrieux",100,3,1
"2291",2006,"Get Up","Ciara Featuring Chamillionaire",93,20,1
"2292",2018,"Get Up 10","Cardi B",38,2,1
"2293",2015,"Get Ur Freak On","Missy ""Misdemeanor"" Elliott",65,25,2
"2294",2015,"Get Used To It","Justin Bieber",90,1,1
"2295",2018,"Get You","Daniel Caesar Featuring Kali Uchis",99,6,3
"2296",2013,"Get Your Shine On","Florida Georgia Line",96,20,1
"2297",2006,"Get'cha Head In The Game","Andrew Seeley",100,5,1
"2298",2010,"Gettin' Over You","David Guetta & Chris Willis Featuring Fergie & LMFAO",95,20,1
"2299",2006,"Gettin' Some","Shawnna",96,19,1
"2300",2010,"Gettin' You Home","Chris Young",94,20,2
"2301",2005,"Getting Away With Murder","Papa Roach",75,16,1
"2302",2005,"Ghetto","Akon",95,5,1
"2303",2001,"Ghetto Girls","Lil Bow Wow",91,4,1
"2304",2006,"Ghetto Story Chapter 2","Cham Featuring Alicia Keys",99,7,2
"2305",2015,"Ghost","Ella Henderson",75,20,1
"2306",2017,"Ghost In This House","Lauren Duski",98,1,1
"2307",2015,"Ghost Town","Adam Lambert",73,17,1
"2308",2018,"Ghost Town","Kanye West Featuring PARTYNEXTDOOR",16,2,1
"2309",2017,"Ghostface Killers","21 Savage, Offset & Metro Boomin Featuring Travis Scott",57,7,1
"2310",2019,"Ghostin","Ariana Grande",25,2,1
"2311",2012,"Ghosts That We Knew","Mumford & Sons",94,3,1
"2312",2004,"Gigolo","Nick Cannon Featuring R. Kelly",95,20,1
"2313",2008,"Gimme More","Britney Spears",85,20,1
"2314",2006,"Gimme That","Chris Brown Featuring Lil Wayne",80,20,1
"2315",2003,"Gimme The Light","Sean Paul",97,39,1
"2316",2010,"Gimmie That Girl","Joe Nichols",98,20,1
"2317",2016,"Ginza","J Balvin",98,15,4
"2318",2005,"Girl","Beck",100,1,1
"2319",2005,"Girl","Destiny's Child",95,19,2
"2320",2006,"Girl","Paul Wall",95,16,1
"2321",2019,"GIRL","Maren Morris",96,15,2
"2322",2003,"Girl All The Bad Guys Want","Bowling For Soup",68,9,1
"2323",2015,"Girl Crush","Little Big Town",100,24,2
"2324",2015,"Girl In A Country Song","Maddie & Tae",78,20,2
"2325",2019,"Girl Like You","Jason Aldean",99,19,2
"2326",2001,"Girl Next Door","Musiq Soulchild Featuring Ayana",93,8,1
"2327",2006,"Girl Next Door","Saving Jane",91,20,1
"2328",2013,"Girl On Fire","Alicia Keys Featuring Nicki Minaj",37,30,1
"2329",2000,"Girl On TV","LFO",10,17,1
"2330",2003,"Girl Talk","TLC",71,14,1
"2331",2006,"Girl Tonite","Twista Featuring Trey Songz",100,20,1
"2332",2005,"Girlfight","Brooke Valentine Featuring Lil Jon & Big Boi",98,20,1
"2333",2002,"Girlfriend","'N Sync Featuring Nelly",70,20,1
"2334",2007,"Girlfriend","Avril Lavigne",5,24,1
"2335",2003,"Girlfriend","B2K",82,13,1
"2336",2008,"Girlfriend","Bow Wow & Omarion",82,15,1
"2337",2003,"Girls And Boys","Good Charlotte",75,13,1
"2338",2008,"Girls Around The World","Lloyd Featuring Lil Wayne",93,14,1
"2339",2014,"Girls Chase Boys","Ingrid Michaelson",98,20,1
"2340",2001,"Girls Dem Sugar","Beenie Man Featuring Mya",72,15,1
"2341",2008,"Girls In Their Summer Clothes","Bruce Springsteen",95,1,1
"2342",2011,"Girls Just Want To Have Fun","Glee Cast",59,1,1
"2343",2015,"Girls Just Want To Have Fun","Madi Davis",98,1,1
"2344",2004,"Girls Lie Too","Terri Clark",73,15,1
"2345",2019,"Girls Like You","Maroon 5 Featuring Cardi B",94,52,1
"2346",2019,"Girls Need Love","Summer Walker X Drake",87,16,1
"2347",2016,"Girls Talk Boys","5 Seconds Of Summer",68,1,1
"2348",2002,"Girls, Girls, Girls","JAY-Z",65,17,1
"2349",2005,"Give A Little Bit","Goo Goo Dolls",74,20,1
"2350",2010,"Give A Little More","Maroon 5",86,1,1
"2351",2011,"Give In To Me","Garrett Hedlund & Leighton Meester",79,2,1
"2352",2008,"Give It 2 Me","Madonna",57,1,1
"2353",2013,"Give It 2 U","Robin Thicke Featuring Kendrick Lamar",83,12,1
"2354",2013,"Give It All We Got Tonight","George Strait",98,20,2
"2355",2006,"Give It Away","George Strait",99,19,1
"2356",2002,"Give It To Her","Tanto Metro & Devonte",99,20,2
"2357",2007,"Give It To Me","Timbaland Featuring Nelly Furtado & Justin Timberlake",87,26,1
"2358",2010,"Give It Up To Me","Shakira Featuring Lil Wayne",58,11,1
"2359",2010,"Give Me A Sign (Forever And Ever)","Breaking Benjamin",97,5,1
"2360",2012,"Give Me All Your Luvin'","Madonna Featuring Nicki Minaj & M.I.A.",87,6,2
"2361",2014,"Give Me Back My Hometown","Eric Church",95,20,1
"2362",2012,"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer",60,45,1
"2363",2000,"Give Me Just One Night (Una Noche)","98 Degrees",51,20,1
"2364",2005,"Give Me That","Webbie Featuring Bun B",99,20,1
"2365",2000,"Give Me You","Mary J. Blige",100,9,2
"2366",2000,"Give You What You Want (Fa Sure)","Chico DeBarge",71,13,1
"2367",2012,"Give Your Heart A Break","Demi Lovato",70,32,1
"2368",2007,"Given Up","Linkin Park",99,1,1
"2369",2010,"Gives You Hell","Glee Cast",32,2,1
"2370",2009,"Gives You Hell","The All-American Rejects",69,36,1
"2371",2012,"Glad You Came","Glee Cast",90,1,1
"2372",2012,"Glad You Came","The Wanted",85,37,1
"2373",2007,"Glamorous","Fergie Featuring Ludacris",98,29,1
"2374",2012,"Glass","Thompson Square",100,11,1
"2375",2010,"Glitter In The Air","P!nk",92,18,2
"2376",2018,"Global","Lil Baby",91,1,1
"2377",2017,"Glorious","Macklemore Featuring Skylar Grey",93,19,2
"2378",2015,"Glory","Common & John Legend",99,3,2
"2379",2014,"Glory And Gore","Lorde",88,3,1
"2380",2017,"Glow","Drake Featuring Kanye West",54,2,1
"2381",2018,"Gnarly","Kodak Black Featuring Lil Pump",88,1,1
"2382",2016,"Go Ahead And Break My Heart","Blake Shelton Featuring Gwen Stefani",70,1,1
"2383",2005,"Go D.J.","Lil Wayne",71,20,1
"2384",2017,"Go Flex","Post Malone",100,11,2
"2385",2012,"Go Get It","T.I.",77,1,1
"2386",2007,"Go Getta","Young Jeezy Featuring R. Kelly",86,20,1
"2387",2008,"Go Girl","Ciara Featuring T-Pain",78,1,1
"2388",2008,"Go Girl","Pitbull Featuring Trina & Young Bo$$",100,9,2
"2389",2009,"Go Hard","DJ Khaled Featuring Kanye West & T-Pain",100,2,2
"2390",2015,"Go Hard Or Go Home","Wiz Khalifa & Iggy Azalea",100,2,2
"2391",2017,"Go Legend","Big Sean & Metro Boomin Featuring Travis Scott",67,1,1
"2392",2019,"Go Loko","YG, Tyga & Jon Z",71,6,1
"2393",2001,"Go On","George Strait",97,20,2
"2394",2008,"Go On Girl","Ne-Yo",96,3,1
"2395",2011,"Go Your Own Way","Glee Cast",45,1,1
"2396",2005,"Go!","Common",84,6,1
"2397",2002,"God Bless America","Daniel Rodriguez",99,2,1
"2398",2003,"God Bless The U.S.A.","American Idol Finalists",94,8,2
"2399",2002,"God Bless The USA","Lee Greenwood",16,17,1
"2400",2012,"God Gave Me You","Blake Shelton",65,25,1
"2401",2009,"God In Me","Mary Mary Featuring Kierra ""KiKi"" Sheard",91,20,1
"2402",2018,"God Is A Woman","Ariana Grande",11,22,1
"2403",2009,"God Love Her","Toby Keith",89,20,1
"2404",2015,"God Made Girls","RaeLynn",98,16,1
"2405",2008,"God Must Be Busy","Brooks & Dunn",99,11,1
"2406",2016,"God Only Knows","Jordan Smith & Adam Levine",90,1,1
"2407",2017,"God, Your Mama, And Me","Florida Georgia Line Featuring Backstreet Boys",92,19,2
"2408",2017,"God.","Kendrick Lamar",58,2,1
"2409",2019,"God's Country","Blake Shelton",59,11,1
"2410",2018,"God's Plan","Drake",1,36,1
"2411",2005,"God's Will","Martina McBride",96,8,1
"2412",2005,"Goin' Crazy","Natalie",80,20,1
"2413",2019,"Going Bad","Meek Mill Featuring Drake",6,28,1
"2414",2018,"Going Down!","XXXTENTACION",95,1,1
"2415",2008,"Going On","Gnarls Barkley",88,1,1
"2416",2013,"Gold","Britt Nicole",90,3,1
"2417",2016,"Gold","Kiiara",96,27,1
"2418",2006,"Gold Digger","Kanye West Featuring Jamie Foxx",92,39,1
"2419",2006,"Gold Lion","Yeah Yeah Yeahs",97,3,2
"2420",2012,"Gold On The Ceiling","The Black Keys",99,6,3
"2421",2002,"Gone","'N Sync",63,24,1
"2422",2013,"Gone","Kanye West Featuring Cam'ron & Consequence",18,1,1
"2423",2005,"Gone","Montgomery Gentry",76,20,1
"2424",2013,"Gone, Gone, Gone","Phillip Phillips",100,30,1
"2425",2016,"Gonna","Blake Shelton",86,18,1
"2426",2010,"Gonna Get This","Hannah Montana Featuring Iyaz",66,1,1
"2427",2016,"Gonna Know We Were Here","Jason Aldean",92,16,2
"2428",2015,"Gonna Wanna Tonight","Chase Rice",98,12,1
"2429",2010,"Gonorrhea","Lil Wayne Featuring Drake",17,3,1
"2430",2019,"Good As You","Kane Brown",95,16,1
"2431",2007,"Good Directions","Billy Currington",91,20,1
"2432",2017,"Good Drank","2 Chainz x Gucci Mane x Quavo",95,16,3
"2433",2012,"Good Feeling","Flo Rida",82,37,2
"2434",2016,"Good For You","Selena Gomez Featuring A$AP Rocky",9,26,1
"2435",2019,"Good Form","Nicki Minaj Featuring Lil Wayne",89,6,2
"2436",2012,"Good Girl","Carrie Underwood",24,20,1
"2437",2019,"Good Girl","Dustin Lynch",93,15,1
"2438",2014,"Good Girls","5 Seconds Of Summer",85,2,2
"2439",2009,"Good Girls Go Bad","Cobra Starship Featuring Leighton Meester",91,25,2
"2440",2012,"Good Good Night","Roscoe Dash",98,4,2
"2441",2018,"Good Guy","Eminem Featuring Jessie Reyez",67,1,1
"2442",2005,"Good Is Good","Sheryl Crow",98,10,2
"2443",2014,"Good Kisser","Usher",70,19,1
"2444",2017,"Good Life","G-Eazy & Kehlani",76,5,1
"2445",2008,"Good Life","Kanye West Featuring T-Pain",14,21,1
"2446",2011,"Good Life","OneRepublic",97,35,2
"2447",2004,"Good Little Girls","Blue County",77,7,1
"2448",2015,"Good Lovin","Ludacris Featuring Miguel",91,2,1
"2449",2006,"Good Luck Charm","Jagged Edge",100,10,1
"2450",2009,"Good Morning","Chamillionaire",40,3,1
"2451",2002,"Good Morning Beautiful","Steve Holy",70,20,1
"2452",2018,"Good Old Days","Macklemore Featuring Kesha",72,19,2
"2453",2006,"Good Ride Cowboy","Garth Brooks",93,14,2
